text,entities
I'm interested in a condo in Punta Cana with 4 bedrooms and 1 bathrooms for $230000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 94, 'PRICE')]"
I'm interested in a condo in Punta Cana with 5 bedrooms and 2 bathrooms for $240000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 94, 'PRICE')]"
I'm interested in a condo in Punta Cana with 1 bedrooms and 3 bathrooms for $250000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 94, 'PRICE')]"
I'm interested in a condo in Punta Cana with 2 bedrooms and 1 bathrooms for $260000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 94, 'PRICE')]"
I'm interested in a condo in Punta Cana with 3 bedrooms and 2 bathrooms for $270000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 94, 'PRICE')]"
I'm interested in a condo in Punta Cana with 4 bedrooms and 3 bathrooms for $280000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 94, 'PRICE')]"
I'm interested in a condo in Punta Cana with 5 bedrooms and 1 bathrooms for $290000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 94, 'PRICE')]"
I'm interested in a condo in Punta Cana with 1 bedrooms and 2 bathrooms for $300000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 2 bedrooms and 3 bathrooms for $310000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 3 bedrooms and 1 bathrooms for $320000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 4 bedrooms and 2 bathrooms for $330000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 5 bedrooms and 3 bathrooms for $340000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 1 bedrooms and 1 bathrooms for $350000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 2 bedrooms and 2 bathrooms for $360000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 3 bedrooms and 3 bathrooms for $370000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 4 bedrooms and 1 bathrooms for $380000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 5 bedrooms and 2 bathrooms for $390000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 1 bedrooms and 3 bathrooms for $400000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 2 bedrooms and 1 bathrooms for $410000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 3 bedrooms and 2 bathrooms for $420000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 4 bedrooms and 3 bathrooms for $430000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 5 bedrooms and 1 bathrooms for $440000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 1 bedrooms and 2 bathrooms for $450000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 2 bedrooms and 3 bathrooms for $460000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 3 bedrooms and 1 bathrooms for $470000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 4 bedrooms and 2 bathrooms for $480000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 5 bedrooms and 3 bathrooms for $490000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 1 bedrooms and 1 bathrooms for $500000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 2 bedrooms and 2 bathrooms for $510000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 3 bedrooms and 3 bathrooms for $520000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 4 bedrooms and 1 bathrooms for $530000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 5 bedrooms and 2 bathrooms for $540000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 1 bedrooms and 3 bathrooms for $550000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 2 bedrooms and 1 bathrooms for $560000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 3 bedrooms and 2 bathrooms for $570000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 4 bedrooms and 3 bathrooms for $580000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
I'm interested in a condo in Punta Cana with 5 bedrooms and 1 bathrooms for $590000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 95, 'PRICE')]"
